;Version septembre 2025;;;;;;;;;;
;Parcours EMS - Alternant;;;;;;;;;;
;Semestre 3;;;;;;;;;;
;;;"Compétence 1 :
Traiter des données à des fins décisionnelles";;"Compétence 2 :
Analyser statistiquement les données";;"Compétence 3 :
Valoriser une production dans un contexte professionnel";;Compétence 4 : Modéliser les données dans un cadre statistique;;
;;;8ECTS;;8ECTS;;8ECTS;;6ECTS;;
Ressources;Utilisation avancée d'outils de reporting;;15;;;;;;;;
;Systèmes d'information décisionnels;;10;;;;;;;;
;Technologies web;;15;;;;;;;;
;Programmation statistique automatisée;;10;;;;;;;;
;EMS - AL -  Programmation objet;;10;;;;;;;;
;Algèbre linéaire;;;;15;;;;;;
;Tests d’hypothèses pour l’analyse bi-variée;;;;15;;;;;;
;AL - Régression linéaire simple;;;;15;;;;;;
;Anglais professionnel;;;;;;15;;;;
;Communication organisationnelle et professionnelle;;;;;;15;;;;
;Les données de l’environnement entrepreneurial et économique pour l’aide à la décision;;;;;;25;;;;
;EMS - Techniques de sondage et méthologie de l'enquête;;;;15;;;;40;;
SAÉ;SAÉ - EMS - Recueil et analyse de données par échantillonnage ou plan d'expérience;;14;;19;;5;;50;;
;SAÉ - Intégration de données dans un Datawarehouse - Talend;;24;;;;5;;;;Pas de projet pour les alternants
;SAÉ - Description et prévision de données temporelles;;;;19;;15;;10;;
;SAÉ - EMS - Conformité réglementaire pour analyser des données;;2;;2;;20;;;;
;;;;;;;;;;;
;Semestre 4;;;;;;;;;;
;;;"Compétence 1 :
Traiter des données à des fins décisionnelles";;"Compétence 2 :
Analyser statistiquement les données";;"Compétence 3 :
Valoriser une production dans un contexte professionnel";;Compétence 4 : Modéliser les données dans un cadre statistique;;
;;;8ECTS;;8ECTS;;8ECTS;;6ECTS;;
Ressources;Automatisation et test en programmation;;25;;;;;;;;
;AL -  Système d'information géographique;;20;;;;;;;;
;Méthodes factorielles;;;;15;;;;;;
;Classification automatique;;;;10;;;;;;
;EMS - AL - Compléments d'analyse;;;;10;;;;;;
;Anglais scientifique et argumentation;;;;;;13;;;;
;Communication scientifique et argumentation;;;;;;13;;;;
;Exploration et valorisation de la donnée dans un cadre juridique et économique;;;;;;19;;;;
;EMS - Modèle linéaire;;;;10;;;;50;;
SAÉ;SAÉ - Reporting d'une analyse multivariée - Régression logistique et Power BI;;10;;10;;10;;;;Pas de projet pour les alternants
;Stage;;35;;35;;35;;40;;
;Portfolio;;10;;10;;10;;10;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
