;Version septembre 2025;;;;;;;;;
;Parcours EMS - Formation initiale;;;;;;;;;
;Semestre 3;;;;;;;;;
;;;"Compétence 1 :
Traiter des données à des fins décisionnelles";;"Compétence 2 :
Analyser statistiquement les données";;"Compétence 3 :
Valoriser une production dans un contexte professionnel";;Compétence 4 : Modéliser les données dans un cadre statistique;
;;;8ECTS;;8ECTS;;8ECTS;;6ECTS;
Ressources;Utilisation avancée d'outils de reporting;;10;;;;;;;
;Systèmes d'information décisionnels;;10;;;;;;;
;Technologies web;;10;;;;;;;
;Programmation statistique automatisée;;10;;;;;;;
;EMS - AL -  Programmation objet;;10;;;;;;;
;Algèbre linéaire;;;;15;;;;;
;Tests d’hypothèses pour l’analyse bi-variée;;;;15;;;;;
;AL - Régression linéaire simple;;;;15;;;;;
;Anglais professionnel;;;;;;15;;;
;Communication organisationnelle et professionnelle;;;;;;15;;;
;Les données de l’environnement entrepreneurial et économique pour l’aide à la décision;;;;;;20;;;
;EMS - Techniques de sondage et méthologie de l'enquête;;;;5;;;;30;
;Projet Personnel et Professionnel 3;;5;;5;;5;;10;
SAÉ;SAÉ - EMS - Recueil et analyse de données par échantillonnage ou plan d'expérience;;15;;20;;5;;40;
;SAÉ - Intégration de données dans un Datawarehouse ;;25;;;;5;;;
;SAÉ - Description et prévision de données temporelles;;;;20;;5;;;
;SAÉ - EMS - Conformité réglementaire pour analyser des données;;2;;2;;15;;;
;SAÉ - AL - Métiers de la donnée : répondre aux besoins du territoire;;3;;3;;15;;20;
;;;;;;;;;;
;Semestre 4;;;;;;;;;
;;;"Compétence 1 :
Traiter des données à des fins décisionnelles";;"Compétence 2 :
Analyser statistiquement les données";;"Compétence 3 :
Valoriser une production dans un contexte professionnel";;Compétence 4 : Modéliser les données dans un cadre statistique;
;;;8ECTS;;8ECTS;;8ECTS;;6ECTS;
Ressources;Automatisation et test en programmation;;25;;;;;;;
;AL -  Système d'information géographique;;15;;;;;;;
;Méthodes factorielles;;;;10;;;;;
;Classification automatique;;;;10;;;;;
;EMS - AL - Compléments d'analyse;;;;10;;;;;
;Anglais scientifique et argumentation;;;;;;12;;;
;Communication scientifique et argumentation;;;;;;12;;;
;Exploration et valorisation de la donnée dans un cadre juridique et économique;;;;;;16;;;
;EMS - Modèle linéaire;;;;10;;;;35;
;Projet Personnel et Professionnel 4;;5;;5;;5;;5;
SAÉ;SAÉ - EMS - Expliquer ou prédire une variable quantitative à partir de plusieurs facteurs;;;;10;;10;;20;
;SAÉ - Reporting d'une analyse multivariée;;15;;10;;10;;5;
;SAÉ - AL - Métiers de la donnée : répondre aux besoins du territoire;;15;;10;;10;;10;
;Stage;;20;;20;;20;;20;
;Portfolio;;5;;5;;5;;5;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
