;Version septembre 2025;;;;;;;;;
;Parcours VCOD - Formation initiale;;;;;;;;;
;Semestre 3;;;;;;;;;
;;;"Compétence 1 :
Traiter des données à des fins décisionnelles";;"Compétence 2 :
Analyser statistiquement les données";;"Compétence 3 :
Valoriser une production dans un contexte professionnel";;Compétence 4 : Développer un outil décisionnel;
;;;8ECTS;;8ECTS;;8ECTS;;6ECTS;
Ressources;Utilisation avancée d'outils de reporting;;10;;;;;;;
;Systèmes d'information décisionnels;;10;;;;;;;
;Technologies web;;10;;;;;;;
;Programmation statistique automatisée;;10;;;;;;;
;Algèbre linéaire;;;;20;;;;;
;Tests d’hypothèses pour l’analyse bi-variée;;;;15;;;;;
;AL - Régression linéaire simple;;;;15;;;;;
;Anglais professionnel;;;;;;15;;;
;Communication organisationnelle et professionnelle;;;;;;15;;;
;Les données de l’environnement entrepreneurial et économique pour l’aide à la décision;;;;;;20;;;
;VCOD - Programmation objet;;5;;;;;;20;
;VCOD - AL - Automatisation du traitement des données dans un tableur;;5;;;;;;20;
;Projet Personnel et Professionnel 3;;5;;5;;5;;10;
SAÉ;SAÉ - VCOD - Collecte automatisée de données web ;;20;;15;;5;;30;
;SAÉ - Intégration de données dans un Datawarehouse ;;20;;;;5;;;
;SAÉ - Description et prévision de données temporelles;;;;25;;5;;;
;SAÉ - VCOD - Conformité réglementaire pour traiter des données;;2;;2;;15;;;
;SAÉ - AL - Métiers de la donnée : répondre aux besoins du territoire;;3;;3;;15;;20;
;;;;;;;;;;
;Semestre 4;;;;;;;;;
;;;"Compétence 1 :
Traiter des données à des fins décisionnelles";;"Compétence 2 :
Analyser statistiquement les données";;"Compétence 3 :
Valoriser une production dans un contexte professionnel";;Compétence 4 : Développer un outil décisionnel;
;;;8ECTS;;8ECTS;;8ECTS;;6ECTS;
Ressources;Automatisation et test en programmation;;20;;;;;;;
;AL -  Système d'information géographique;;10;;;;;;;
;Méthodes factorielles;;;;20;;;;;
;Classification automatique;;;;20;;;;;
;Anglais scientifique et argumentation;;;;;;12;;;
;Communication scientifique et argumentation;;;;;;12;;;
;Exploration et valorisation de la donnée dans un cadre juridique et économique;;;;;;16;;;
;Projet Personnel et Professionnel 4;;5;;5;;5;;5;
;VCOD - Préparation/Intégration de données;;5;;;;;;20;
;VCOD - Programmation web;;5;;;;;;20;
SAÉ;SAÉ - VCOD - Développement d'un composant d'une solution décisionnelle;;10;;;;10;;25;
;SAÉ - Reporting d'une analyse multivariée;;10;;15;;10;;;
;SAÉ - AL - Métiers de la donnée : répondre aux besoins du territoire;;10;;15;;10;;5;
;Stage;;20;;20;;20;;20;
;Portfolio;;5;;5;;5;;5;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
